Name, Latitude, Longitude
Meall Buidhe,56.617231,-4.448608
Slioch South Top,57.662352,-5.341806
Beinn Fhada NE Top,56.644559,-4.995462
Ill Crag,54.455577,-3.199705
Cruach Mhor,52.003833,-9.688784
Ben Chonzie,56.453851,-3.992057
Beinn Gharbh,56.888602,-3.886895
Skiddaw,54.651391,-3.147761
Beinn Bhreac,57.055072,-3.553472
Meall Cruidh,56.528722,-5.043446
A' Chailleach,57.109564,-4.179285
Sgor Choinnich,56.780367,-4.548943
Sgurr nan Saighead,57.205998,-5.354887
Sgurr nan Fhir Duibhe North Top,57.588786,-5.375926
Blabheinn,57.219565,-6.09321
Skiddaw Middle Top,54.649139,-3.147357
Mayar,56.848936,-3.246316
Am Fasarinen,57.559442,-5.473092
Meall nan Eun,56.561176,-4.942926
Glas Mheall Mor,56.865197,-4.165836
Beinn Sgritheall NW Top,57.157984,-5.581702
Moruisg,57.499712,-5.17063
Beinn Bhreac West Top,57.056092,-3.563177
Glas Leathad Beag,57.700528,-4.531539
Tigh Mor na Seilge,57.202435,-5.080245
Sron Chona Choirein,56.568699,-4.453658
Craig of Gowal,56.913015,-3.263035
Eididh nan Clach Geala,57.813492,-4.934218
Ben Hope,58.413113,-4.60786
Sgurr na Creige,57.168567,-5.417089
Sgurr nan Coireachan South Top,57.004577,-5.40382
Beinn Narnain,56.220956,-4.789003
Blabheinn South Top,57.217602,-6.095214
Sgurr nan Eag,57.19581,-6.211264
Geal Charn,57.057418,-4.373572
Beinn Liath Mhor,57.512083,-5.400618
Seana Bhraigh,57.84733,-4.89662
Sgurr Thormaid,57.222659,-6.240953
Meall a' Choire Leith,56.566312,-4.259617
Skiddaw South Top,54.647222,-3.147644
Diollaid a' Chairn,56.848722,-4.482164
Garnedd Uchaf,53.18298,-3.966335
Ceum na h-Aon-choise,57.227844,-5.322397
Lugnaquilla,52.967153,-6.464603
An Sgorr,56.630635,-4.217416
Buachaille Etive Beag - Stob Coire Raineach,56.649895,-4.951601
Creag Pitridh,56.899712,-4.484972
Helvellyn Lower Man,54.530827,-3.025352
Skiddaw North Top,54.652823,-3.147491
Meall Glas Choire,56.820156,-4.562873
An Coileachan,57.667625,-4.949498
Elidir Fawr,53.130647,-4.076431
Carn Dearg SE Top,57.086621,-4.249537
Stob Garbh SE Top,56.361046,-4.570666
Creag a' Bhragit,56.368977,-4.513515
Sgurr nan Each,57.681008,-5.04635
Crib Goch,53.076145,-4.055175
Meall Dearg East Top,56.679469,-5.000782
Cnoc an Chuillinn East Top,51.991071,-9.706852
Beinn a' Chuirn,56.531634,-4.668189
Meall Gorm SE Top,57.677729,-4.966534
Ceum na h-Aon-choise South Top,57.224845,-5.31989
Mullach Coire nan Nead,56.825744,-4.573893
